model,pooled_oof_auc,ci_lo,ci_hi
tabular_7means_logreg,0.5565862708719851,0.426996996996997,0.6807794992997197
gnn_baseline,0.5281385281385282,0.39892108103775137,0.6581308415653495
tabular_38feat_xgboost,0.5114409400123685,0.37749432374185093,0.6326579907325249
tabular_38feat_logreg,0.4291898577612863,0.3035936826811136,0.5566207792049822
