arm,auc_mean,auc_std,ap_mean,ap_std,n_folds
XGBoost (interaction-aware),0.6595753548694725,0.0323905998225062,0.4466454072892325,0.03900415686499807,15
Elastic-net (marginal/linear),0.6839965345847698,0.03394100228013852,0.46765817777063956,0.04424135487372296,15
