fold,n_bilateral,n_unilateral,auc_bilateral,auc_unilateral,auc_delta_bilateral_minus_unilateral
0,95,204,0.5051428571428571,0.4742767083192615,0.03086614882359562
1,90,208,0.6443867618429592,0.5485745024206563,0.09581225942230287
2,100,198,0.6770833333333333,0.5225845410628019,0.15449879227053132
3,83,215,0.526896551724138,0.512531328320802,0.014365223403336014
4,88,210,0.5428571428571428,0.5057769139401792,0.03708022891696361
