outer_fold,inner_auc_mean,inner_auc_std,inner_auc_n_folds,C,l1_ratio,feature_select_enabled,feature_select_mode,feature_select_k_kin,feature_select_kin_method,feature_select_max_abs_corr,feature_select_max_zero_rate
0,0.5487850348019839,0.0014449920308467973,3,0.5,0.5,True,block_kinematic,16,topk_auc,0.9,0.95
0,0.5548707256334375,0.025458085031944137,3,0.5,0.5,True,block_kinematic,16,topk_auc,0.95,0.9
0,0.5548707256334375,0.025458085031944137,3,0.5,0.5,True,block_kinematic,16,topk_auc,0.95,0.95
0,0.5580889606313335,0.0021930640955481985,3,0.5,0.5,True,block_kinematic,16,mrmr,0.9,0.9
0,0.5591980367404096,0.002696296032760523,3,0.5,0.5,True,block_kinematic,16,mrmr,0.9,0.95
0,0.5583738609162338,0.001855091619626788,3,0.5,0.5,True,block_kinematic,16,mrmr,0.95,0.9
0,0.5594829370253099,0.002295625162652491,3,0.5,0.5,True,block_kinematic,16,mrmr,0.95,0.95
0,0.5542891979332657,0.015296476080663984,3,0.5,0.5,True,block_kinematic,32,topk_auc,0.9,0.9
0,0.5542891979332657,0.015296476080663984,3,0.5,0.5,True,block_kinematic,32,topk_auc,0.9,0.95
0,0.5579822954822955,0.008666340552745087,3,0.5,0.5,True,block_kinematic,32,topk_auc,0.95,0.9
0,0.5579822954822955,0.008666340552745087,3,0.5,0.5,True,block_kinematic,32,topk_auc,0.95,0.95
0,0.5502531680497782,0.008060073344282803,3,0.5,0.5,True,block_kinematic,32,mrmr,0.9,0.9
0,0.5494289922256024,0.008951238780821468,3,0.5,0.5,True,block_kinematic,32,mrmr,0.9,0.95
0,0.5484734035581493,0.010272546502382462,3,0.5,0.5,True,block_kinematic,32,mrmr,0.95,0.9
0,0.5521058821906278,0.006244902301712982,3,0.5,0.5,True,block_kinematic,32,mrmr,0.95,0.95
0,0.580335930547795,0.03602205172919475,3,0.5,0.75,True,block_kinematic,0,topk_auc,0.9,0.9
0,0.580335930547795,0.03602205172919475,3,0.5,0.75,True,block_kinematic,0,topk_auc,0.9,0.95
0,0.580335930547795,0.03602205172919475,3,0.5,0.75,True,block_kinematic,0,topk_auc,0.95,0.9
0,0.580335930547795,0.03602205172919475,3,0.5,0.75,True,block_kinematic,0,topk_auc,0.95,0.95
0,0.580335930547795,0.03602205172919475,3,0.5,0.75,True,block_kinematic,0,mrmr,0.9,0.9
0,0.580335930547795,0.03602205172919475,3,0.5,0.75,True,block_kinematic,0,mrmr,0.9,0.95
0,0.580335930547795,0.03602205172919475,3,0.5,0.75,True,block_kinematic,0,mrmr,0.95,0.9
0,0.580335930547795,0.03602205172919475,3,0.5,0.75,True,block_kinematic,0,mrmr,0.95,0.95
0,0.5644811089726344,0.018538371077640867,3,0.5,0.75,True,block_kinematic,8,topk_auc,0.9,0.9
0,0.5644811089726344,0.018538371077640867,3,0.5,0.75,True,block_kinematic,8,topk_auc,0.9,0.95
0,0.5813617957685754,0.03687767960326419,3,0.5,0.75,True,block_kinematic,8,topk_auc,0.95,0.9
0,0.5813617957685754,0.03687767960326419,3,0.5,0.75,True,block_kinematic,8,topk_auc,0.95,0.95
0,0.5555866841883791,0.011149491102509469,3,0.5,0.75,True,block_kinematic,8,mrmr,0.9,0.9
0,0.5555866841883791,0.011149491102509469,3,0.5,0.75,True,block_kinematic,8,mrmr,0.9,0.95
0,0.5555866841883791,0.011149491102509469,3,0.5,0.75,True,block_kinematic,8,mrmr,0.95,0.9
0,0.5555866841883791,0.011149491102509469,3,0.5,0.75,True,block_kinematic,8,mrmr,0.95,0.95
0,0.5482413615888192,0.002047943533310113,3,0.5,0.75,True,block_kinematic,16,topk_auc,0.9,0.9
0,0.5482413615888192,0.002047943533310113,3,0.5,0.75,True,block_kinematic,16,topk_auc,0.9,0.95
