feature,importance
BA__length__min,0.0015816095218217975
BA_bifurcation__angles__R-PCA/L-PCA__max,0.0015785125921973736
PCA__radius__q3__min,0.0015753882896886867
A1__radius__mean__mean,0.0015749020673907809
BA__tortuosity__mean,0.0015738969643072898
P2__radius__min__min,0.001567208481096336
BA_bifurcation__bifurcation__points_angle__max,0.0015593754443717913
P1__radius__sd__mean,0.0015558309286252186
ICA_bifurcation__angles__ICA/MCA__max,0.0015424303067915204
C6__radius__q1__min,0.0015246111514231628
A2__length__min,0.0015130692069201324
C7__volume__min,0.0015086031441538382
BA__radius__mean__mean,0.0014874304630296113
C6__radius__sd__max,0.0014797288720112146
BA_bifurcation__bifurcation__dist_radius__max,0.0014657281785808883
Pcom_bifurcation__angles__C7/Pcom__mean,0.0014143741752498857
ICA__tortuosity__min,0.00141385225648964
BA_bifurcation__bifurcation__radius_parent__mean,0.0013995604069133476
C6__radius__mean__max,0.0013961994406708638
C7__tortuosity__mean,0.0013928091390964209
PCA__curvature__max__mean,0.0013871896076797729
PCA__length__mean,0.001375491676268885
P1__radius__q1__mean,0.0013697692074844392
ICA__curvature__q1__mean,0.0013441906337126924
ACA__radius__q1__min,0.0013339898153872751
BA_bifurcation__bifurcation__points_angle__mean,0.001330144113949709
BA_bifurcation__angles__BA/R-PCA__min,0.0013228501250917796
C6__radius__median__min,0.0013188844086021506
BA__radius__min__max,0.0013169548298858661
ICA_bifurcation__angles__MCA/ACA__mean,0.0013107031857031862
ICA__curvature__max__min,0.0013076285152866102
Pcom__length__mean,0.0013019295502201117
Pcom__tortuosity__mean,0.0012996374543209747
BA_bifurcation__bifurcation__points_radius__min,0.0012935323383084574
A1__tortuosity__max,0.0012899283549200494
P1__length__max,0.001286378219334107
BA_bifurcation__ratios__radius sum__count,0.0012780286120129868
C6__radius__max__mean,0.0012572838239451013
PCA__radius__min__min,0.0012553032181938433
BA_bifurcation__ratios__area sum__mean,0.0012500000000000005
PCA__radius__max__max,0.001248242630957099
ICA__volume__mean,0.001242008434328017
BA__curvature__q3__max,0.001224605690512213
A2__curvature__q3__min,0.0012220477961845345
ICA_bifurcation__bifurcation__points_angle__mean,0.0012211265799421988
Pcom_bifurcation__angles__P1/P2__mean,0.0012189583135262876
P1__radius__q3__max,0.0012165972318445416
BA__curvature__min__min,0.0011953617583742831
ACA__radius__q1__mean,0.0011946690731628616
MCA__radius__max__max,0.001187253205476387
BA__radius__mean__max,0.0011813720751102173
ACA__radius__median__max,0.0011779885670837363
ICA__curvature__median__max,0.001173059559131652
Pcom__length__min,0.0011680121908247533
BA__radius__max__max,0.0011661310221751466
BA_bifurcation__bifurcation__points_radius__mean,0.0011607387365419964
ICA__curvature__q1__max,0.0011463015124432475
C6__radius__median__mean,0.0011446194517701757
ACA__radius__sd__mean,0.0011435529846366662
MCA__length__max,0.0011423442417837814
Pcom_bifurcation__angles__P1/Pcom__max,0.0011355346249985803
C7__curvature__median__mean,0.0011318987815539818
C7__curvature__mean__mean,0.0011306021286019447
Pcom__curvature__q3__min,0.0011256699417330016
BA_bifurcation__angles__BA/R-PCA__mean,0.0011244548125930683
A1__radius__min__max,0.0011195728291316543
Acom__radius__sd__mean,0.0011188271604938272
A1__tortuosity__min,0.001115990722141192
ACA__radius__median__min,0.001112384355829543
BA__radius__q1__mean,0.0011074811074811076
P2__curvature__q1__max,0.0011052715551768421
A1__curvature__min__min,0.0010963989411409318
Pcom_bifurcation__angles__C6/Pcom__max,0.001092893984812312
BA__length__mean,0.0010889546035805638
C6__radius__sd__mean,0.0010779099075648951
Pcom__curvature__sd__min,0.001075472183375263
P2__radius__min__max,0.0010724807006858292
C6__curvature__max__min,0.0010721316138393034
A1__curvature__median__mean,0.001063636549727192
C6__curvature__q3__min,0.0010634444307575984
BA__radius__sd__max,0.0010625765436732737
MCA__curvature__min__mean,0.0010475653839109992
P1__radius__max__max,0.0010299877600979193
Pcom__tortuosity__min,0.0010188543489943786
BA_bifurcation__bifurcation__points_radius__max,0.0010136452241715419
A2__length__mean,0.0010121318075863531
ICA__radius__q1__min,0.001010078754643972
Pcom_bifurcation__bifurcation__points_angle__mean,0.00100828076877994
ACA__curvature__median__min,0.001003911461394566
A1__curvature__min__max,0.0010034413756633085
Acom__curvature__q1__min,0.0010026413451815314
C6__radius__mean__mean,0.0010015025447978232
ACA__radius__median__mean,0.000992166808699067
C7__radius__mean__min,0.0009756787330316758
Acom__length__min,0.0009756787330316738
Pcom_bifurcation__angles__P1/Pcom__mean,0.0009742806449967573
ICA_bifurcation__angles__ICA/MCA__min,0.000965693819337341
Pcom_bifurcation__angles__P2/Pcom__max,0.0009614121510673237
ICA__radius__median__min,0.0009605199476097454
ICA__tortuosity__max,0.0009590245123650298
ICA__radius__q3__mean,0.0009538627514810155
MCA__radius__mean__min,0.000949553657222479
PCA__radius__q3__max,0.0009466579461039959
A1__curvature__q3__min,0.0009396764324836762
C6__curvature__mean__mean,0.0009374456270909364
A1__volume__mean,0.0009347764428088073
ACA__curvature__mean__min,0.0009261990446200968
BA_bifurcation__bifurcation__radius_parent__count,0.0009230769230769233
A1__radius__q1__min,0.0009176342226613969
Acom__radius__max__max,0.0009111253196930947
C6__curvature__min__mean,0.0009082609588696447
P2__radius__q3__max,0.0009049803991446903
ACA__radius__mean__max,0.0009038669621445048
ICA__curvature__max__mean,0.0009028459302049919
P1__curvature__sd__mean,0.0008962045912064598
BA_bifurcation__ratios__area sum__max,0.0008957068471203298
BA__curvature__sd__max,0.0008901646011219884
MCA__curvature__sd__min,0.0008888660359248595
A2__curvature__min__mean,0.0008866905336033223
ICA_bifurcation__bifurcation__radius_parent__min,0.0008851311220760244
PCA__curvature__median__max,0.0008809542173512762
C7__radius__mean__max,0.0008755958686440684
ACA__tortuosity__mean,0.000864529293918436
ACA__volume__mean,0.0008620003185220576
ICA__curvature__min__min,0.0008509145963927088
C7__curvature__q1__min,0.000847228835366306
