feature,importance
component_25__radius__max__min,0.0015403672673106425
component_9__tortuosity__min,0.0015379261723474857
component_15__radius__max__max,0.001535714077208974
component_19__curvature__max__mean,0.0015294774928217602
component_7__radius__q1__min,0.0015192346663751445
component_25__curvature__sd__count,0.001517022753853784
component_3__tortuosity__mean,0.0015152964847863692
component_1__radius__max__mean,0.0015143572042791847
component_5__curvature__mean__mean,0.001510352910887355
component_19__curvature__mean__count,0.0015052878926434575
component_1__curvature__min__mean,0.0015040208754863308
component_6__curvature__median__max,0.0014992927045234467
component_24__radius__sd__min,0.0014987874497474647
component_1__radius__min__std,0.0014962534846174804
component_4__curvature__max__min,0.0014867175140174389
component_15__volume__max,0.0014819443709666988
component_1__radius__max__min,0.0014768565508719886
component_22__radius__median__mean,0.0014630388064821385
component_21__radius__median__max,0.0014629884060696576
component_1__radius__max__max,0.0014581863514011072
component_23__tortuosity__mean,0.0014565979335968216
component_25__radius__mean__mean,0.0014503139872876342
component_20__length__max,0.0014455584676967214
component_25__curvature__mean__count,0.0014449178489052083
component_25__curvature__min__count,0.0014384613422433168
component_4__radius__median__min,0.0014282361663710916
component_4__volume__mean,0.0014250608320843033
component_1__curvature__sd__max,0.0014234716103993933
component_20__radius__q3__min,0.0014200604635123187
component_2__radius__median__mean,0.0014146121560001687
component_21__tortuosity__count,0.0014114283281638277
component_9__radius__min__min,0.0014067120645342413
component_5__curvature__q3__count,0.0014038760470574346
component_21__tortuosity__min,0.001402543625730604
component_1__volume__min,0.0013951135502389544
component_1__curvature__max__max,0.0013938178298599005
component_6__curvature__mean__min,0.0013928753609952066
component_3__radius__sd__mean,0.0013847617302932332
component_17__curvature__q3__count,0.0013832907454482649
component_2__radius__q1__max,0.0013779706108408727
component_2__curvature__sd__mean,0.001377963133198451
component_7__radius__max__min,0.0013743767217266137
component_8__radius__q3__mean,0.0013723411947128106
component_22__tortuosity__max,0.0013647563562985867
component_10__length__max,0.0013618910438362797
component_19__curvature__max__min,0.0013608477437153444
component_2__tortuosity__mean,0.0013603473858878564
component_25__volume__mean,0.0013552546229937826
component_20__radius__mean__min,0.001347972118661727
component_3__radius__q3__min,0.001346404446593725
component_21__radius__q3__count,0.0013462129347428004
component_8__radius__median__max,0.001345498636110377
component_22__radius__max__min,0.0013414953214190136
component_20__radius__max__max,0.0013413733862199034
component_19__curvature__sd__count,0.0013368801444292133
component_22__radius__min__count,0.0013365986775337616
component_8__volume__max,0.0013361595094386993
component_21__curvature__max__count,0.001331701748224256
component_10__length__mean,0.0013301883622635938
component_8__curvature__q3__mean,0.001326485890538006
component_20__radius__median__max,0.0013253425862979277
component_8__radius__median__mean,0.0013247141205604406
component_3__radius__median__max,0.0013242701277051327
component_19__radius__min__max,0.001319411975141591
component_15__radius__max__mean,0.0013174887670193596
component_3__radius__q1__max,0.0013140533859425222
component_3__radius__median__min,0.0013096048106619324
component_8__curvature__q3__max,0.0013077225874389023
component_21__radius__q1__count,0.0013067998581870305
component_14__radius__min__min,0.0013048298731701147
component_21__radius__q1__mean,0.001304643559956832
component_23__radius__max__count,0.0013016094119533378
component_8__radius__sd__max,0.0012976234811500997
component_5__radius__median__mean,0.0012886933236924336
component_21__radius__mean__min,0.0012823285670843438
component_11__length__mean,0.0012763957182079333
component_21__radius__median__mean,0.0012721332076436993
component_25__radius__mean__max,0.001271168155599469
component_3__volume__max,0.0012644844475796662
component_1__radius__q1__std,0.0012641598718290247
component_9__radius__q3__min,0.0012629782292368117
component_21__radius__median__count,0.0012554252610225782
component_1__curvature__median__std,0.0012523400343570582
component_25__tortuosity__max,0.001238549019049228
component_9__curvature__mean__max,0.001235696956047117
component_5__volume__count,0.0012329360997362935
component_3__radius__sd__max,0.001231475429948188
component_12__radius__median__min,0.0012282441369127085
component_4__curvature__median__mean,0.001225336673329993
component_6__radius__sd__min,0.001224455097696233
component_8__radius__mean__max,0.001220137254881938
component_21__curvature__min__count,0.0012179166829574522
component_2__tortuosity__max,0.0012161606475178484
component_24__tortuosity__mean,0.001213802596198905
component_13__radius__q3__max,0.0012129523097306808
component_25__radius__q1__max,0.0012064702552959578
component_11__radius__sd__mean,0.0012040210031523007
component_2__radius__sd__min,0.0012034605631190524
component_21__radius__median__min,0.001201709262543999
component_22__curvature__median__count,0.0012016611112589872
component_7__radius__q1__mean,0.0011877620511577581
component_2__radius__sd__max,0.0011867030556711345
component_1__radius__mean__min,0.0011859659299864145
component_13__radius__sd__mean,0.0011815715756408436
component_2__radius__q1__mean,0.001177945278728585
component_19__curvature__median__mean,0.0011742138968369876
component_2__curvature__max__min,0.0011715300594974019
component_21__radius__q3__mean,0.0011709954938984293
component_20__radius__q1__max,0.0011691350717575883
component_19__radius__median__min,0.0011672129086164936
component_2__radius__min__mean,0.0011658538786353428
component_25__radius__q3__max,0.00116301314733289
component_21__volume__mean,0.0011577493304572328
component_5__length__max,0.001153459203271249
component_3__volume__count,0.0011510573501803795
component_15__length__max,0.0011495195089255156
component_4__radius__q1__min,0.001143328681391981
component_12__volume__max,0.0011425605352757425
component_19__volume__mean,0.001140455986330462
component_3__radius__mean__min,0.0011385741214704845
component_2__curvature__mean__min,0.0011292368715785667
component_19__curvature__mean__mean,0.0011287829577772204
component_5__radius__q1__min,0.001128020573711925
component_2__radius__mean__max,0.0011226221170017737
component_25__radius__median__mean,0.0011219395189687837
component_20__radius__q1__mean,0.0011204705241246783
component_22__curvature__mean__count,0.0011156115915959201
component_12__volume__count,0.001112108541392841
component_1__curvature__mean__min,0.0011089161476154651
component_20__tortuosity__count,0.00110854002503816
component_5__radius__q1__mean,0.001107508986383369
component_12__radius__sd__min,0.0011046510046655383
component_20__curvature__sd__count,0.0011000012999988719
component_6__radius__q3__min,0.0010993046133926897
component_19__curvature__sd__mean,0.0010914948158543777
component_22__radius__median__count,0.001085607492607214
component_4__radius__max__mean,0.0010805403545121118
component_5__radius__q1__max,0.0010780060618613538
component_10__volume__max,0.0010745240491077351
component_1_bifurcation__angles__pair1__max,0.001074359632516525
component_23__radius__min__mean,0.0010720903785984472
component_23__radius__median__min,0.0010696368181647143
component_10__tortuosity__max,0.0010690848790116591
component_23__length__max,0.0010664726663194024
component_1__length__min,0.0010637857586243734
component_5__radius__max__min,0.0010637040144439484
component_3__radius__sd__min,0.001060596653851979
component_1__volume__std,0.0010596903223811251
component_13__radius__max__mean,0.0010523937463201001
component_8__radius__mean__mean,0.0010495018247558782
component_25__radius__q1__mean,0.0010421922307827381
component_4__tortuosity__max,0.0010401988045935443
component_10__radius__max__min,0.0010401212554682377
component_19__radius__max__min,0.0010292926959735427
component_20__length__mean,0.0010288792614996769
component_1__radius__min__max,0.001022290189893671
component_3__radius__q1__min,0.00102003663092859
component_13__radius__min__max,0.00101632797761916
component_5__radius__q3__mean,0.0010137776625161914
component_2__radius__min__max,0.0010136728636593198
component_1__tortuosity__max,0.0010015302975687741
component_2__curvature__q1__mean,0.0009993715005948906
component_8__curvature__q3__min,0.0009981492213855937
component_7__radius__median__min,0.0009959034110301925
component_16__length__max,0.0009932008474740966
component_2__curvature__q1__max,0.0009893455828222865
component_10__tortuosity__count,0.00098155929038282
component_19__curvature__q3__max,0.0009757365028998133
component_7__length__max,0.0009738567883235003
component_10__length__min,0.0009730131204649979
component_15__radius__sd__mean,0.0009668684456194472
component_25__radius__max__max,0.0009663950029189997
component_2__radius__q3__max,0.0009514287336214772
component_9__curvature__min__count,0.0009480274822695034
component_1__radius__q3__min,0.0009457704545045282
component_14__radius__max__mean,0.0009442995212174534
component_3__volume__mean,0.0009442679702704706
component_15__volume__mean,0.0009435333140732899
component_20__radius__max__count,0.0009378158116614129
component_20__tortuosity__max,0.0009362987335587933
component_19__length__min,0.0009343113388110236
component_2__radius__max__min,0.0009316754394082879
component_3__radius__max__max,0.000930906190744682
component_9__radius__max__mean,0.0009307259867076475
component_9__volume__mean,0.0009301222381697283
component_27__radius__median__min,0.0009297651856126326
component_26__radius__sd__min,0.0009293207021368173
component_2__length__std,0.0009286736565622709
component_21__volume__count,0.0009281758948537686
component_1_bifurcation__angles__pair2__mean,0.0009275550781923498
component_19__volume__count,0.0009248630030249283
component_1__radius__max__std,0.0009226699564460315
component_7__length__mean,0.000916978529942491
component_6__radius__max__mean,0.0009152194202177543
component_7__radius__mean__min,0.0009105639779771626
component_1__radius__q1__min,0.0009093600500666125
component_4__curvature__max__max,0.0009060344123688562
component_3__curvature__min__count,0.000905865533585367
component_25__radius__q3__min,0.0009046199313989775
component_12__radius__q3__mean,0.0008970131448890043
component_10__radius__min__count,0.0008950617283950616
component_25__radius__sd__count,0.0008943292694049789
component_10__radius__max__mean,0.000894269161164221
component_8__radius__mean__min,0.0008931866545959515
component_4__curvature__q1__min,0.0008920912992458808
component_1__radius__min__mean,0.0008906007633095933
component_4__length__mean,0.0008891169792454007
component_10__curvature__sd__mean,0.0008872762324725486
component_5__radius__sd__mean,0.0008857176348694865
component_25__tortuosity__min,0.0008856637877461605
component_23__radius__q1__min,0.0008811323551207923
component_25__radius__median__max,0.0008802232688369689
component_1__curvature__max__std,0.0008799533675511466
component_2__curvature__max__mean,0.0008773037052481037
component_6__tortuosity__mean,0.0008727135832678648
component_5__length__min,0.0008696760524210079
component_18__volume__mean,0.0008696566404369445
component_9__radius__q3__max,0.0008618686366450103
component_20__curvature__q3__max,0.0008604231166150653
component_16__radius__median__mean,0.0008580117811615654
component_4__radius__q3__max,0.000856594090556838
component_6__curvature__median__mean,0.0008553806192666935
component_2__curvature__q3__std,0.0008535604370459038
component_12__radius__q1__min,0.0008533066446457405
component_9__radius__q3__mean,0.0008530879669183442
component_21__radius__q3__min,0.0008507237249889296
component_7__radius__mean__mean,0.0008475705748610475
component_2__radius__max__mean,0.0008449141905129842
component_20__radius__q1__count,0.000839948508903668
component_1__radius__min__min,0.000839519666496191
component_5__tortuosity__max,0.000838053659254275
component_21__radius__q1__min,0.0008377624360728704
component_9__radius__mean__count,0.0008307607349483689
component_8__radius__min__mean,0.0008292295848476569
component_5__curvature__sd__max,0.0008286872331086442
component_3__radius__q3__max,0.0008267363331832971
component_4__radius__min__min,0.0008262294653914028
component_4__radius__median__mean,0.0008245855274338247
component_7__curvature__q3__mean,0.0008208337484069802
component_2__radius__min__min,0.0008193612219300872
component_1_bifurcation__angles__pair2__count,0.0008148157045642016
component_17__curvature__median__count,0.0008143721198156674
component_4__curvature__min__count,0.0008137504362120046
component_2__curvature__q3__mean,0.0008124153578847624
component_15__radius__q3__mean,0.0008122512807554199
component_25__radius__max__mean,0.0008093766000483458
component_2__radius__mean__mean,0.0008078284348027051
component_3__curvature__min__max,0.0008073597875420118
component_13__radius__q1__mean,0.000807121324747591
component_7__radius__median__mean,0.0008047944462325892
component_5__curvature__sd__min,0.0008022098428824209
component_2__radius__max__max,0.0007996772700605488
component_3__radius__q3__mean,0.0007995366280296917
component_6__volume__min,0.0007991844973527215
component_2__length__mean,0.0007988497303334883
component_5__radius__sd__min,0.0007955483446364916
component_4__radius__mean__max,0.0007949255195504577
component_4__radius__q1__mean,0.0007946840877844324
component_24__radius__median__mean,0.0007923127218382196
component_9__radius__min__count,0.0007906922435856932
component_5__radius__mean__min,0.0007892144705377416
component_6__radius__min__min,0.0007787850127382385
component_13__tortuosity__max,0.0007772587941457048
component_3__radius__q1__mean,0.000773565356773554
component_1_bifurcation__angles__pair1__mean,0.0007733347474348465
component_20__radius__max__min,0.0007732940964235772
component_9__radius__median__mean,0.000772230381914179
component_1__radius__q3__std,0.0007719085467320489
component_3__curvature__sd__min,0.0007674734971978739
component_2__radius__median__max,0.0007661891375082597
component_19__radius__q3__mean,0.0007645212696844941
component_19__radius__max__count,0.0007638888888888878
component_3__curvature__q1__max,0.0007622352058938327
component_10__radius__min__min,0.0007617853888568087
component_3__length__max,0.0007604117078688901
component_8__curvature__median__max,0.0007583512162460436
component_3__radius__mean__max,0.0007576262742756759
component_1_bifurcation__angles__pair2__min,0.0007529128672745692
component_2__volume__mean,0.0007526702897986012
component_10__curvature__sd__max,0.0007509754600286233
component_1__curvature__median__mean,0.0007508145476125942
component_2__radius__q3__count,0.0007477423185595551
component_21__radius__min__mean,0.0007457253539941214
component_19__radius__mean__mean,0.0007457253539941214
component_8__curvature__max__min,0.0007452339973823567
component_26__radius__max__max,0.0007436240574413868
component_27__radius__max__max,0.0007418632919888442
component_20__radius__mean__count,0.0007389611308091077
component_11__length__max,0.0007373711722459344
component_23__length__mean,0.0007363013698630136
component_2__volume__min,0.000735231181902958
component_25__radius__q1__min,0.0007350338978829426
component_1__radius__median__max,0.0007338269962937578
component_7__curvature__q1__mean,0.0007291291453450741
component_7__radius__mean__max,0.0007279394290681345
component_3__curvature__sd__std,0.0007275792723117363
component_1__curvature__q1__min,0.0007265006226192336
component_22__curvature__sd__count,0.0007259679572763657
component_21__curvature__mean__count,0.0007241222760290563
component_19__radius__sd__max,0.0007240788278888303
component_4__radius__min__mean,0.000723196949864665
component_6__curvature__q1__mean,0.0007222320692183943
component_4__length__min,0.0007198985551009763
component_10__radius__median__mean,0.0007176920608068846
component_10__curvature__max__min,0.000717036691883039
component_21__radius__max__max,0.0007142068394221713
component_2__length__max,0.0007134577712009598
component_19__length__count,0.0007094594594594592
component_19__radius__sd__count,0.0007084690553745931
component_20__length__count,0.0007084690553745929
component_2__tortuosity__min,0.0007075180453511394
component_10__radius__q3__min,0.0007074502906560764
component_6__curvature__mean__max,0.0007069818852807476
component_13__radius__q1__min,0.0007065498175002165
component_13__radius__median__max,0.0007062881009905192
component_6__length__min,0.0007047278597010259
component_13__radius__sd__min,0.0007045400900850521
component_10__volume__min,0.0007033686979236047
component_5__curvature__mean__min,0.0007006104657701323
component_9__curvature__median__mean,0.0006991401952213889
component_9__radius__q1__max,0.0006954815742278422
component_20__tortuosity__mean,0.0006926350529789817
component_25__length__min,0.0006924539781560142
component_22__radius__q1__min,0.0006909086663421108
component_6__radius__mean__max,0.0006894111510029131
component_1__curvature__q1__mean,0.0006893236318628647
component_22__radius__q3__count,0.0006884215760194891
component_4__curvature__q3__max,0.0006834737093219588
component_23__radius__median__count,0.0006833333333333333
component_18__curvature__mean__max,0.0006833333333333331
component_21__curvature__median__count,0.0006833333333333323
component_22__tortuosity__min,0.0006816239316239317
component_5__curvature__q1__mean,0.0006788495230679352
component_2__radius__sd__count,0.000678375859471195
component_17__length__count,0.0006752320323526371
component_15__radius__mean__mean,0.0006752320323526361
component_11__curvature__max__mean,0.0006744880161992701
component_15__volume__min,0.0006739236790606661
component_23__radius__max__min,0.0006739236790606657
component_25__volume__max,0.0006739236790606641
component_8__length__max,0.0006729868109257803
component_23__length__min,0.000671230528068972
component_3__radius__min__min,0.0006707752789033891
component_4__curvature__q3__count,0.0006705222282848773
component_1_bifurcation__angles__pair1__count,0.0006670634409985848
component_23__curvature__min__count,0.0006670634409985845
component_14__radius__mean__max,0.0006657714206509914
component_6__tortuosity__max,0.0006657141835475495
component_2__radius__q1__min,0.0006654234453586834
component_2__curvature__max__max,0.0006640298633748913
component_4__radius__q1__max,0.0006630127011673518
component_13__radius__mean__mean,0.0006592461989943956
component_3__curvature__sd__mean,0.000658646753336514
component_19__curvature__q1__max,0.0006578947368421057
component_26__tortuosity__max,0.0006531623858061892
component_7__curvature__max__mean,0.0006527580719517749
