ablation,n_features,auc,ap
full,114,0.569882498453927,0.3871209597070727
no_coordinate_like,99,0.5409193980622552,0.34550014686205555
geometry_only,84,0.5420531849103278,0.3303314082082016
count_only,23,0.47515976087404654,0.2780060227651717
