outer_fold,inner_auc_mean,inner_auc_std,inner_auc_n_folds,C,l1_ratio,feature_select_enabled,feature_select_mode,feature_select_max_abs_corr,feature_select_max_zero_rate
0,0.5782821306126391,0.03296298712073721,3,0.5,0.25,True,global_topk,0.9,0.9
0,0.5782821306126391,0.03296298712073721,3,0.5,0.25,True,global_topk,0.9,0.95
0,0.5782821306126391,0.03296298712073721,3,0.5,0.25,True,global_topk,0.95,0.9
0,0.5782821306126391,0.03296298712073721,3,0.5,0.25,True,global_topk,0.95,0.95
0,0.5797484530535378,0.035040495178916484,3,0.5,0.5,True,global_topk,0.9,0.9
0,0.5797484530535378,0.035040495178916484,3,0.5,0.5,True,global_topk,0.9,0.95
0,0.5797484530535378,0.035040495178916484,3,0.5,0.5,True,global_topk,0.95,0.9
0,0.5797484530535378,0.035040495178916484,3,0.5,0.5,True,global_topk,0.95,0.95
0,0.580335930547795,0.03602205172919475,3,0.5,0.75,True,global_topk,0.9,0.9
0,0.580335930547795,0.03602205172919475,3,0.5,0.75,True,global_topk,0.9,0.95
0,0.580335930547795,0.03602205172919475,3,0.5,0.75,True,global_topk,0.95,0.9
0,0.580335930547795,0.03602205172919475,3,0.5,0.75,True,global_topk,0.95,0.95
0,0.5735725667929058,0.031978717531499,3,1.0,0.25,True,global_topk,0.9,0.9
0,0.5735725667929058,0.031978717531499,3,1.0,0.25,True,global_topk,0.9,0.95
0,0.5735725667929058,0.031978717531499,3,1.0,0.25,True,global_topk,0.95,0.9
0,0.5735725667929058,0.031978717531499,3,1.0,0.25,True,global_topk,0.95,0.95
0,0.5762237605457945,0.03274880135954465,3,1.0,0.5,True,global_topk,0.9,0.9
0,0.5762237605457945,0.03274880135954465,3,1.0,0.5,True,global_topk,0.9,0.95
0,0.5762237605457945,0.03274880135954465,3,1.0,0.5,True,global_topk,0.95,0.9
0,0.5762237605457945,0.03274880135954465,3,1.0,0.5,True,global_topk,0.95,0.95
0,0.5771312334871658,0.03441035053109074,3,1.0,0.75,True,global_topk,0.9,0.9
0,0.5771312334871658,0.03441035053109074,3,1.0,0.75,True,global_topk,0.9,0.95
0,0.5771312334871658,0.03441035053109074,3,1.0,0.75,True,global_topk,0.95,0.9
0,0.5771312334871658,0.03441035053109074,3,1.0,0.75,True,global_topk,0.95,0.95
0,0.569655963935625,0.030915843809672758,3,2.0,0.25,True,global_topk,0.9,0.9
0,0.569655963935625,0.030915843809672758,3,2.0,0.25,True,global_topk,0.9,0.95
0,0.569655963935625,0.030915843809672758,3,2.0,0.25,True,global_topk,0.95,0.9
0,0.569655963935625,0.030915843809672758,3,2.0,0.25,True,global_topk,0.95,0.95
0,0.5710666687361603,0.03140958537192368,3,2.0,0.5,True,global_topk,0.9,0.9
0,0.5710666687361603,0.03140958537192368,3,2.0,0.5,True,global_topk,0.9,0.95
0,0.5710666687361603,0.03140958537192368,3,2.0,0.5,True,global_topk,0.95,0.9
0,0.5710666687361603,0.03140958537192368,3,2.0,0.5,True,global_topk,0.95,0.95
0,0.5721853162531129,0.03181841826395288,3,2.0,0.75,True,global_topk,0.9,0.9
0,0.5721853162531129,0.03181841826395288,3,2.0,0.75,True,global_topk,0.9,0.95
0,0.5721853162531129,0.03181841826395288,3,2.0,0.75,True,global_topk,0.95,0.9
0,0.5721853162531129,0.03181841826395288,3,2.0,0.75,True,global_topk,0.95,0.95
1,0.5776140333931817,0.014777003508668871,3,0.5,0.25,True,global_topk,0.9,0.9
1,0.5776140333931817,0.014777003508668871,3,0.5,0.25,True,global_topk,0.9,0.95
1,0.5776140333931817,0.014777003508668871,3,0.5,0.25,True,global_topk,0.95,0.9
1,0.5776140333931817,0.014777003508668871,3,0.5,0.25,True,global_topk,0.95,0.95
1,0.5803195915521749,0.014779344152152879,3,0.5,0.5,True,global_topk,0.9,0.9
1,0.5803195915521749,0.014779344152152879,3,0.5,0.5,True,global_topk,0.9,0.95
1,0.5803195915521749,0.014779344152152879,3,0.5,0.5,True,global_topk,0.95,0.9
1,0.5803195915521749,0.014779344152152879,3,0.5,0.5,True,global_topk,0.95,0.95
1,0.5822351257480035,0.014207463869306498,3,0.5,0.75,True,global_topk,0.9,0.9
1,0.5822351257480035,0.014207463869306498,3,0.5,0.75,True,global_topk,0.9,0.95
1,0.5822351257480035,0.014207463869306498,3,0.5,0.75,True,global_topk,0.95,0.9
1,0.5822351257480035,0.014207463869306498,3,0.5,0.75,True,global_topk,0.95,0.95
1,0.5710377347976118,0.014293079534689501,3,1.0,0.25,True,global_topk,0.9,0.9
1,0.5710377347976118,0.014293079534689501,3,1.0,0.25,True,global_topk,0.9,0.95
1,0.5710377347976118,0.014293079534689501,3,1.0,0.25,True,global_topk,0.95,0.9
1,0.5710377347976118,0.014293079534689501,3,1.0,0.25,True,global_topk,0.95,0.95
1,0.5721116746246429,0.014084325187874287,3,1.0,0.5,True,global_topk,0.9,0.9
1,0.5721116746246429,0.014084325187874287,3,1.0,0.5,True,global_topk,0.9,0.95
1,0.5721116746246429,0.014084325187874287,3,1.0,0.5,True,global_topk,0.95,0.9
1,0.5721116746246429,0.014084325187874287,3,1.0,0.5,True,global_topk,0.95,0.95
1,0.5745227110719601,0.01385725213794135,3,1.0,0.75,True,global_topk,0.9,0.9
1,0.5745227110719601,0.01385725213794135,3,1.0,0.75,True,global_topk,0.9,0.95
1,0.5745227110719601,0.01385725213794135,3,1.0,0.75,True,global_topk,0.95,0.9
1,0.5745227110719601,0.01385725213794135,3,1.0,0.75,True,global_topk,0.95,0.95
1,0.5675939498538871,0.014748276652386132,3,2.0,0.25,True,global_topk,0.9,0.9
1,0.5675939498538871,0.014748276652386132,3,2.0,0.25,True,global_topk,0.9,0.95
1,0.5675939498538871,0.014748276652386132,3,2.0,0.25,True,global_topk,0.95,0.9
1,0.5675939498538871,0.014748276652386132,3,2.0,0.25,True,global_topk,0.95,0.95
1,0.5673203541470626,0.014663640824300337,3,2.0,0.5,True,global_topk,0.9,0.9
1,0.5673203541470626,0.014663640824300337,3,2.0,0.5,True,global_topk,0.9,0.95
1,0.5673203541470626,0.014663640824300337,3,2.0,0.5,True,global_topk,0.95,0.9
1,0.5673203541470626,0.014663640824300337,3,2.0,0.5,True,global_topk,0.95,0.95
1,0.5682454438674657,0.014743407866874418,3,2.0,0.75,True,global_topk,0.9,0.9
1,0.5682454438674657,0.014743407866874418,3,2.0,0.75,True,global_topk,0.9,0.95
1,0.5682454438674657,0.014743407866874418,3,2.0,0.75,True,global_topk,0.95,0.9
1,0.5682454438674657,0.014743407866874418,3,2.0,0.75,True,global_topk,0.95,0.95
2,0.5585468406921751,0.01662838671630907,3,0.5,0.25,True,global_topk,0.9,0.9
2,0.5585468406921751,0.01662838671630907,3,0.5,0.25,True,global_topk,0.9,0.95
2,0.5585468406921751,0.01662838671630907,3,0.5,0.25,True,global_topk,0.95,0.9
2,0.5585468406921751,0.01662838671630907,3,0.5,0.25,True,global_topk,0.95,0.95
2,0.561465458494833,0.016634356518422315,3,0.5,0.5,True,global_topk,0.9,0.9
2,0.561465458494833,0.016634356518422315,3,0.5,0.5,True,global_topk,0.9,0.95
2,0.561465458494833,0.016634356518422315,3,0.5,0.5,True,global_topk,0.95,0.9
2,0.561465458494833,0.016634356518422315,3,0.5,0.5,True,global_topk,0.95,0.95
2,0.5634877339420737,0.015459214112661266,3,0.5,0.75,True,global_topk,0.9,0.9
2,0.5634877339420737,0.015459214112661266,3,0.5,0.75,True,global_topk,0.9,0.95
2,0.5634877339420737,0.015459214112661266,3,0.5,0.75,True,global_topk,0.95,0.9
2,0.5634877339420737,0.015459214112661266,3,0.5,0.75,True,global_topk,0.95,0.95
2,0.5515351103949633,0.016926550426144958,3,1.0,0.25,True,global_topk,0.9,0.9
2,0.5515351103949633,0.016926550426144958,3,1.0,0.25,True,global_topk,0.9,0.95
2,0.5515351103949633,0.016926550426144958,3,1.0,0.25,True,global_topk,0.95,0.9
2,0.5515351103949633,0.016926550426144958,3,1.0,0.25,True,global_topk,0.95,0.95
2,0.5534516670630127,0.017274191173856233,3,1.0,0.5,True,global_topk,0.9,0.9
2,0.5534516670630127,0.017274191173856233,3,1.0,0.5,True,global_topk,0.9,0.95
2,0.5534516670630127,0.017274191173856233,3,1.0,0.5,True,global_topk,0.95,0.9
2,0.5534516670630127,0.017274191173856233,3,1.0,0.5,True,global_topk,0.95,0.95
2,0.55427209208348,0.017149340754194914,3,1.0,0.75,True,global_topk,0.9,0.9
2,0.55427209208348,0.017149340754194914,3,1.0,0.75,True,global_topk,0.9,0.95
2,0.55427209208348,0.017149340754194914,3,1.0,0.75,True,global_topk,0.95,0.9
2,0.55427209208348,0.017149340754194914,3,1.0,0.75,True,global_topk,0.95,0.95
2,0.5471743464641107,0.016051054283257014,3,2.0,0.25,True,global_topk,0.9,0.9
2,0.5471743464641107,0.016051054283257014,3,2.0,0.25,True,global_topk,0.9,0.95
2,0.5471743464641107,0.016051054283257014,3,2.0,0.25,True,global_topk,0.95,0.9
2,0.5471743464641107,0.016051054283257014,3,2.0,0.25,True,global_topk,0.95,0.95
2,0.5480184862732062,0.016903045740084867,3,2.0,0.5,True,global_topk,0.9,0.9
2,0.5480184862732062,0.016903045740084867,3,2.0,0.5,True,global_topk,0.9,0.95
2,0.5480184862732062,0.016903045740084867,3,2.0,0.5,True,global_topk,0.95,0.9
2,0.5480184862732062,0.016903045740084867,3,2.0,0.5,True,global_topk,0.95,0.95
2,0.5486684800266741,0.017301175977799944,3,2.0,0.75,True,global_topk,0.9,0.9
2,0.5486684800266741,0.017301175977799944,3,2.0,0.75,True,global_topk,0.9,0.95
2,0.5486684800266741,0.017301175977799944,3,2.0,0.75,True,global_topk,0.95,0.9
2,0.5486684800266741,0.017301175977799944,3,2.0,0.75,True,global_topk,0.95,0.95
3,0.5330410673819505,0.021574953484228106,3,0.5,0.25,True,global_topk,0.9,0.9
3,0.5330410673819505,0.021574953484228106,3,0.5,0.25,True,global_topk,0.9,0.95
3,0.5330410673819505,0.021574953484228106,3,0.5,0.25,True,global_topk,0.95,0.9
