run_name,arm_name,fold,auc,baseline_auc,auc_delta_vs_clinical_plus_tumor_size__lr__cv
clinical_plus_tumor_size_plus_kinematic__xgb__cv,clinical_plus_tumor_size_plus_kinematic,4,0.5131493506493506,0.5602813852813853,-0.047132034632034636
clinical_plus_tumor_size_plus_vessel_all__lr__cv,clinical_plus_tumor_size_plus_vessel_all,0,0.5035006462731582,0.562096079276174,-0.05859543300301584
clinical_plus_tumor_size_plus_vessel_all__lr__cv,clinical_plus_tumor_size_plus_vessel_all,1,0.5908008658008659,0.606060606060606,-0.015259740259740084
clinical_plus_tumor_size_plus_vessel_all__lr__cv,clinical_plus_tumor_size_plus_vessel_all,2,0.5283008658008658,0.5842532467532469,-0.05595238095238109
clinical_plus_tumor_size_plus_vessel_all__lr__cv,clinical_plus_tumor_size_plus_vessel_all,3,0.5812229437229438,0.6251623376623376,-0.043939393939393834
clinical_plus_tumor_size_plus_vessel_all__lr__cv,clinical_plus_tumor_size_plus_vessel_all,4,0.5367424242424242,0.5602813852813853,-0.023538961038961026
clinical_plus_tumor_size_plus_vessel_all__xgb__cv,clinical_plus_tumor_size_plus_vessel_all,0,0.5157798362774666,0.562096079276174,-0.0463162429987074
clinical_plus_tumor_size_plus_vessel_all__xgb__cv,clinical_plus_tumor_size_plus_vessel_all,1,0.5893398268398269,0.606060606060606,-0.01672077922077908
clinical_plus_tumor_size_plus_vessel_all__xgb__cv,clinical_plus_tumor_size_plus_vessel_all,2,0.5444805194805196,0.5842532467532469,-0.03977272727272729
clinical_plus_tumor_size_plus_vessel_all__xgb__cv,clinical_plus_tumor_size_plus_vessel_all,3,0.6047077922077921,0.6251623376623376,-0.020454545454545503
clinical_plus_tumor_size_plus_vessel_all__xgb__cv,clinical_plus_tumor_size_plus_vessel_all,4,0.5653679653679655,0.5602813852813853,0.00508658008658025
